City1,City2,Distance(km)
Amsterdam,Athens,2163.084974973078
Amsterdam,Barcelona,1238.4740021865948
Amsterdam,Belgrade,1414.0126825742925
Amsterdam,Berlin,576.0871999159891
Amsterdam,Bratislava,984.5004969951044
Amsterdam,Brussels,172.97318203703662
Amsterdam,Bucharest,1787.3359944068977
Amsterdam,Budapest,1144.8345582774677
Amsterdam,Copenhagen,620.7181169548194
Amsterdam,Dublin,756.6627727900968
Amsterdam,Edinburgh,660.0352198063023
Amsterdam,Florence,1065.2167466462881
Amsterdam,Geneva,691.1558115967308
Amsterdam,Glasgow,711.3640791608548
Amsterdam,Hamburg,365.3267728817774
Amsterdam,Helsinki,1501.1475141970377
Amsterdam,Istanbul,2211.9475619494947
Amsterdam,Krakow,1076.2856133059072
Amsterdam,Lisbon,1863.7777530287628
Amsterdam,Ljubljana,987.7898090792223
Amsterdam,London,357.8875011228779
Amsterdam,Luxembourg City,318.25125202809255
Amsterdam,Madrid,1481.3705824807012
Amsterdam,Milan,828.6839317073119
Amsterdam,Minsk,1514.3352510191057
Amsterdam,Monaco,977.4792518558025
Amsterdam,Moscow,2146.9794597951122
Amsterdam,Munich,668.0066667458503
Amsterdam,Naples,1463.9632438984568
Amsterdam,Oslo,913.1469754576294
Amsterdam,Paris,429.8613896967428
Amsterdam,Podgorica,1539.30306953711
Amsterdam,Prague,710.5207229090194
Amsterdam,Riga,1330.3042922175948
Amsterdam,Rome,1295.9496221016389
Amsterdam,Sarajevo,1374.862021109255
Amsterdam,Skopje,1692.190376361652
Amsterdam,Sofia,1743.070426792585
Amsterdam,Stockholm,1125.283970476805
Amsterdam,Tallinn,1457.3373533498293
Amsterdam,Tbilisi,3199.50766174393
Amsterdam,Tirana,1664.973480288226
Amsterdam,Valencia,1490.177808261603
Amsterdam,Vienna,935.4450575969297
Amsterdam,Vilnius,1366.1640280407098
Amsterdam,Yerevan,3280.213605266244
Amsterdam,Warsaw,1093.2057418626996
Amsterdam,Zagreb,1084.8315012932596
Amsterdam,Nicosia,2945.981756969786
Athens,Barcelona,1877.623928842871
Athens,Belgrade,807.1781311811251
Athens,Berlin,1802.8837434394725
Athens,Bratislava,1250.5215308870029
Athens,Brussels,2089.306635855987
Athens,Bucharest,743.3756210938295
Athens,Budapest,1124.491834885157
Athens,Copenhagen,2136.431045630063
Athens,Dublin,2854.8842995196183
Athens,Edinburgh,2823.1187997079146
Athens,Florence,1228.2182429549514
Athens,Geneva,1709.028004154723
Athens,Glasgow,2873.4507966882593
Athens,Hamburg,2024.6494280594331
Athens,Helsinki,2468.40681047791
Athens,Istanbul,562.0473385031695
Athens,Krakow,1376.4817945810798
Athens,Lisbon,2851.737830122532
Athens,Ljubljana,1175.7083191605152
Athens,London,2391.6292959565953
Athens,Luxembourg City,1905.982338105983
Athens,Madrid,2369.569175543091
Athens,Milan,1461.8477681831787
Athens,Minsk,1793.8228734954116
Athens,Monaco,1509.4893699332267
Athens,Moscow,2231.023057057463
